,TSLA,GOOGL
67,AUTOS Tesla Has Another Huge Recall. It’s Still No Reason to Worry.,"OPINION Apple, more than Meta, holds the key to unlocking a ‘metaverse’-type world of AR"
68,"The World Cup will kick off amid Elon Musk’s Twitter chaos, and nobody knows what happens next",OPINION A $3 trillion loss: Big Tech’s horrible year is getting worse
69,"Tesla recalls 300,000 vehicles over taillight software glitch",Gearing up for a Downturn
70,AUTOS GM Has a New Business: Fixing Tesla EVs.,"OPINION Even in a bear market, stay the course with stocks of revolutionary companies"
71,A meltdown in crypto is taking shape and it’s not just FTX’s fault,"‘Pretty much Google 2.0’ — Amazon price targets reduced by analysts, though they say the long-term story is intact"
72,How the crypto world keeps melting down as the FTX scandal unfolds,"OPINION The cloud boom has hit its stormiest moment yet, and it is costing investors billions"
73,ENERGY How a Hot Norwegian Battery Start-Up Beat the SPAC Deep Freeze,"Alphabet is ‘a big ship to turn around,’ when it comes to much-needed belt-tightening, but Wall Street has faith"
74,Twitter risks fraying as engineers exit over Musk upheaval,OPINION Facebook and Google grew into tech titans by ignoring Wall Street. Now it could lead to their downfall
75,AUTOS GM Should Get More Respect. Mary Barra Told Us Why.,"CRYPTOCURRENCIES Digital Dollars Could Be a Boon for Amazon, Alphabet, and Other Tech Companies"
76,AUTOS Lucid’s High-End EV Is Drawing Safety Complaints. Another Problem for the Stock?,Republicans claim Google is sending their fundraising emails to Gmail users’ spam folders
77,"AUTOS VW Might Kill an EV Factory. Tesla, GM, and Ford Should be Happy.",Google Cloud launches first Web3 product in private view
78,GM CEO Mary Barra expects electric vehicles to be profitable by 2025,Google plans legal fight against India regulators' antitrust actions: report
79,Democratic senators urge FTC to investigate Twitter,TECHNOLOGY Apple Dodges a $500 Billion Mega-Cap Tech Stock Slide
80,AUTOS GM Says EVs Will Be Profitable in 36 Months. Even Tesla Will Be Impressed.,CONSUMER Amazon Stock Tumbles on Weak Sales in the Cloud and a Disappointing Forecast
81,TECHNOLOGY Twitter’s Former Chairman Has a Warning. Why Musk Should Listen.,"Amazon market cap sinking $135 billion, set to fall below $1 trillion for first time in 2 1/2 years"
82,TECHNOLOGY Musk Is Running Twitter Like a Start-Up. That Could Be a Mistake.,CURRENCIES The Dollar Is at a Crossroads. It Could Be Great for Stocks.
83,AUTOS Toyota’s New EV Looks Like a Tesla,Big 4 tech stocks erasing a total of more than $190 billion in market cap
84,AUTOS Elon Musk Has the Next Tesla CEO in Mind. There Are a Few Candidates.,HEALTHCARE Medtronic Is Doing a Spinoff. What It Means for Our Stock Pick.
85,TECHNOLOGY Twitter Needs a New CEO. Here Are 3 Suggestions.,TECHNOLOGY Never Mind Microsoft and Alphabet. This Is the More Ominous Sign for Tech.
86,TECHNOLOGY Elon Musk Says He’ll Find Someone to Run Twitter. Tesla Stock May Benefit.,MARKETS Big Tech Suffers Advertising Hit as Recession Looms. The Fed Only Sees Inflation.
87,AUTOS The Fisker Ocean Is a Reality. Why It’s Not Just Another EV.,TECHNOLOGY Apple Earnings Are Decent in Otherwise Terrible Week for Tech
88,MARKETS Imagine What the Global Economy Would Look Like If Russia’s War Ended Soon,"Tech Down After Weak Earnings From Microsoft, Google -- Tech Roundup"
89,"Elon Musk floats possibility of his successor at Tesla, says he plans to eventually find new Twitter CEO","U.S. stocks end mostly lower with Nasdaq, S&P 500 snapping 3-day winning streak as tech stumbles after disappointing earnings"
90,AUTOS Sell Tesla Stock on ‘Any Rally to $200’,MEDIA Netflix Turned a Bear Into a Bull. It’s the Only FAANG Stock Rising Today.
91,"Dow, S&P 500 end lower as investors hit pause on stock- market rally, Target results disappoint","TECHNOLOGY The Domino Effect: Apple, and the Market, Could Be Dragged Down by Alphabet’s Big Miss"
92,"‘We’ve only just begun to see the layoffs and squeezes on profit margins,’ warns Wells Fargo strategist",TECHNOLOGY Alphabet Needs to Go on a Diet. Its Costs and Headcount Are Surging.
93,Elon Musk testifies in shareholder lawsuit over Tesla compensation package,TECHNOLOGY Alphabet and Microsoft Stocks Sink on Earnings. Alarms Are Ringing for Big Tech.
94,TECHNOLOGY Elon Musk Says He’ll Find Someone Else to Run Twitter,TECHNOLOGY Spotify’s Loss Was Wider Than Expected. The CEO Talks Price Increases.
95,AUTOS Elon Musk Is On the Stand In His $50 Billion Pay Drama,"OPINION Google was supposed to be Wall Street’s safe haven, but now it’s a dart board"
96,Watch NASA’s Artemis 1 launch and follow the mission to return humans to Earth’s moon,Alphabet stock price target cut to $120 from $143 at Raymond James
97,AUTOS More Bad News From China for Tesla Investors—This Time From Mercedes,Alphabet stock price target cut to $140 from $150 at Mizuho
98,Stock Splits Are Big This Year. Here's What They Mean for Investors.,Alphabet stock price target cut to $120 from $150 at Susquehanna
99,Former Tesla Australia director pleads guilty to insider trading on lithium deal,MARKETS Musk’s Twitter Deal Is Happening. Can His Magic Work on the Tech World?
100,"Tesla board chair defends Elon Musk’s pay package, says results outweighed his time commitments",TECHNOLOGY Alphabet Stock Slumps on Disappointing Earnings
101,AUTOS Lucid Just Announced a New Car. It Needs a Cheaper One to Become the Next Tesla.,"Google ad sales take a hit and widely miss estimates, Alphabet stock drops 6%"
102,"AUTOS Even Tesla EVs Fall Short in Reliability, Consumer Reports Says",Stocks climb for 3rd straight day as Dow closes at 6-week high
103,"MEDIA Elon Musk Fired Twitter Contractors Suddenly, Report Says","BREAKING Earthquake rattles Silicon Valley, San Francisco"
104,ECONOMY & POLICY Tech Layoffs Are Here. That Doesn’t Mean the Sky Is Falling.,OPINION This one stock stands out when looking at key data from the FAANG+ group
105,Elon Musk’s massive Tesla pay package challenged in court,Google faces an advertising slowdown — here’s why earnings may hold up anyway
106,AUTOS Tesla Stock Hit With Twitter Jitters. Fundamentals Aren’t Helping.,MARKETS Big Tech Earnings Are Here. A Fed Slowdown Can’t Come Soon Enough.
107,How these 22 tech stocks stand out from the pack this earnings season,"TECHNOLOGY Meta Should Cut Staff 20% And Slash Spending On The Metaverse, Investor Says"
108,Tesla stock price target cut to $275 from $325 at BofA Securities,TECHNOLOGY Big Tech Earnings Are Coming. 5 Questions Hang Over the Stocks.
109,AUTOS This EV-Battery Stock Is Bucking the SPAC Crackup,Time to Diversify
110,TECHNOLOGY Elon Musk Complains of High Workload After Twitter Takeover,"Big Tech has been an earnings refuge for years, but safety is no longer a sure thing"
111,Tesla finds a loophole in states where dealerships are forbidden: Tribal lands,Stock-market investors brace for busiest week of earnings season. Here’s how it stacks up so far.
112,"Elon Musk touches on Twitter criticism, heavy workload at G20",These 11 stocks can lead your portfolio’s rebound after the S&P 500 ‘earnings recession’ and a market bottom next year
113,"Twitter reportedly slashes more jobs, laying off thousands of contractors",Social-media platforms brace for U.S. midterm elections mayhem
114,Sen. Ed Markey fires back at Elon Musk: ‘Fix your companies. Or Congress will.’,"Snap's 26.6% premarket decline drags down Meta, Google, Pinterest and other stocks exposed to online ad market"
115,Tesla stock removed from Wedbush’s Best Ideas list over Twitter debacle; deal is an ‘agonizing cycle for investors to navigate’,Google sued by Texas AG for handling of biometric data of millions
116,Tesla stock loses more than 5% this week as CEO Elon Musk wraps up another roller-coaster week at Twitter,Waymo plans to launch driverless taxi service in Los Angeles
117,OPINION ‘He sold caviar to buy a $2 slice of pizza’ — Why Tesla investors are the biggest losers in Elon Musk’s Twitter deal,Uber to allow marketers to target riders with ads based on destination
118,"A Tesla stock plunge could destroy ‘zombie stocks’ such as GameStop and Peloton, warns equity research firm New Constructs",Snapchat is about to play the canary in social media’s coal mine
119,Elon Musk says Twitter bankruptcy ‘not out of the question’ as more top execs leave: reports,TECHNOLOGY Roku Is Getting Big Enough to Be a Buyout Target. Here’s Who Might Want It
120,AUTOS Tesla Makes Out Better Than Musk If Twitter Files Bankruptcy,"OPINION Tech earnings are about to dive, and there’s no life preserver in sight"
121,AUTOS All the Times Elon Musk Warned His Companies Could Go Bankrupt,Alphabet stock price target cut to $120 from $130 at CFRA
122,"TECHNOLOGY Musk Sold Tesla Stock to Save Twitter, Report Says. That’s a Bad Sign.",TECHNOLOGY Meta Platforms to Sell Giphy After Losing Fight With U.K. Regulators
123,"AUTOS Ford, GM, and Chrysler Working Together? EVs Make That Possible.",Maryland judge strikes down nation’s first tax on digital advertising
124,AUTOS EV Stocks Face a Reckoning. Not All Will Survive.,J.D. Vance says he wants to end tax loopholes for tech companies and ban congressional stock trading
125,FTX’s fall: ‘This is the worst’ moment for crypto this year. Here’s what you should know.,MEDIA Snap Stock Is Up but This Analyst Still Has Doubts
126,AUTOS Tesla’s Model Y Has Serious Competition. We Drove the Ioniq 5.,"TECHNOLOGY Oracle’s Stock Looks Cheap Again. ‘We’ve Got a Plan,’ CEO Says."
127,‘I just killed it’: Musk scraps Twitter’s gray ‘official’ label just hours after its launch,"MARKETS Stocks Look Alluring. It’s Time to Snap Up Bargains, Say Big Money Managers."
128,AUTOS Tesla Stock No Longer a ‘Best Idea.’ Twitter Is an ‘Albatross.’,Musk has a ‘super app’ plan for Twitter. It’s super vague
129,"Tesla stock jumps 7.0% premarket, after closing Wed. at a 2-yr. low",Digital World Acquisition Jumps on Google Play's Truth Social Approval
130,"GROWTH INVESTING Cathie Wood Is Buying More Tesla Stock, and Selling Some Nvidia","TikTok parent ByteDance aims to challenge Spotify, Apple with music-streaming growth"
131,Tesla stock removed from Wedbush Best Ideas list over 'Twitter train wreck disaster',Digital World Stock Pops as Truth Social Wins Google Play Store Approval
132,Tesla removed from Wedbush Best Ideas list over Twitter overhang,TECHNOLOGY The ‘Big Tech AI Wars’ Are Coming. Public Cloud Stocks Stand to Gain.
133,CHINA Elections Pave Way for Tougher China Stance. It’s a Risk for Companies.,CRYPTOCURRENCIES Coinbase Stock Is Rising. The Crypto Platform Has a Partner in Google Cloud.
134,Tesla’s stock ends at lowest in nearly 2 years as selloff intensifies,"Alphabet, Coinbase Partner in Push for Web3 Future"
135,BREAKING Biden says Elon Musk's cooperation with other countries 'worthy of being looked at',Are Facebook and Google Losing Power in Advertising?
136,AUTOS Rivian’s Sales Fell Short but the Focus Is on Production. Shares are Rising.,"Tech legislation appears dead, and the congressional finger-pointing has begun"
137,REGULATION The Tesla Cyberquad Is Being Recalled. You Can Get a Refund.,TECHNOLOGY Google to Open First Data Center in Japan in Latest Cloud Push
138,AUTOS Elon Musk Keeps Selling Tesla Stock. Investors Are Too.,TECHNOLOGY Slack Is Going Public Today. Here’s Everything You Need to Know.
139,"Dow sheds 650 points, stocks post worst day after any election in a decade as control of Congress remains in flux","TECHNOLOGY YouTube Is Worth $140 Billion and Alphabet Should Spin It Off, Analyst Writes"
140,TECHNOLOGY California Voters Reject EV Measure Backed by Lyft,Google to Open Its First Japanese Data Center in 2023
141,AUTOS Elon Musk Sells $3.95 Billion More in Tesla Stock. The Timing Is Odd.,"CONSUMER Buy Pinterest Stock, Goldman Says. Analyst Sees Appealing Long-Term Play."
142,"High-stakes election spending, guns at the polls and a Twitter exodus. Is this crowd-sourced app what voters want instead?","CONSUMER Buy Airbnb Stock Because Travel Demand Is Resilient, Says Analyst"
143,The most influential CEOs in markets today,"Nvidia closes Russian offices, will fly relocating employees out of the country, report says"
144,Elon Musk sells Tesla stock worth nearly $4 billion following Twitter purchase,"Lightspeed Commerce Taps Former Google Exec Ryan Tabone for Chief Product, Tech Officer Role"
145,AUTOS Tesla Stock Won’t Stop Dropping. Here’s How Low It Could Go.,TECHNOLOGY Amazon and Uber Are J.P. Morgan’s Top Internet Picks. Here’s Why.
146,"AUTOS Tesla Stock Is Slipping, but Recalls Likely Aren’t to Blame",OPINION Get ready for ‘a proxy battle for the soul of the internet’ — Supreme Court’s next target could be the web’s most important law
147,AUTOS Tesla Stock Succumbed to Elon Musk’s Latest Tweets. Investors Need to Watch Out.,BREAKING Supreme Court agrees to hear case on tech companies' legal immunity
148,Will midterm-election results kill the EV and home-energy tax breaks just approved?,GROWTH INVESTING It’s Time to Buy Tech Again. Here Are 20 Stocks to Start With.
149,GROWTH INVESTING Where to Find Stocks That Will Rise 10 Times,BARRON'S Berkshire Board Member and Warren Buffett Crony David Gottesman Dies at 96
150,AUTOS Elon Musk Needs the One Kind of Executive He Doesn’t Have,"Astra Space Names Martinez CFO, Replacing Brannon"
151,"Italian EV start up takes on U.S. and Chinese rivals with a fresh design concept, but higher price tag",Game over for Google Stadia
152,"Tesla Releases Fix to Address Recall of 40,000 U.S. Vehicles","Microsoft, Google parent Alphabet, and nearly a fifth of S&P 500 hits 52-week lows"
153,Elon Musk’s partisan tweets call Twitter’s neutrality into question,House approves scaled-down bill targeting Big Tech’s dominance
154,"Midterm elections 2022: why they matter to crypto traders, and how",TECHNOLOGY Google’s Stadia Is Shutting Down. It’s Cloud Gaming’s Latest Flop.
155,Tesla stock falls toward first close below $200 in 17 months,"Amazon, Google stock-price targets fall as odds of a recession rise"
156,CHINA A GOP Win Could Tighten the Stance on China,"Move over, TikTok: Social media has ‘a new king in town’ in BeReal"
157,"INDUSTRIALS China’s Auto Market Could ‘Bottom Out’ This Year, Analyst Says",TECHNOLOGY Google Stadia Doesn’t Look Like the Netflix of Gaming Just Yet
158,DISRUPTION Elon Musk’s Latest Tweets Are Helping Tesla Stock Climb Today,BARRON'S Expedia Has a Google Problem
159,"MEDIA Love or Hate Him, Elon Musk Is About to Show Whether Twitter Can Take Flight",BARRON'S Is Google Putting Ads on the Back Burner?
160,M&A The Threat That Twitter Poses to Tesla Stock,"TECHNOLOGY Alphabet, Amazon Stock Won’t Gain As Much Given Strengthening Dollar, Analyst Says"
161,COMPANIES Who’s Who Inside Elon Musk’s Business Universe,Alphabet stock price target cut to $136 from $145 at Truist
162,NEWS Powerball Grand Prize Is Now $1.9 Billion. Here’s What the Winner Could Buy.,"‘We don’t get to choose the macroeconomic conditions always,’ Google CEO Sundar Pichai tells disgruntled staff"
163,Famous glaciers like Kilimanjaro and Yellowstone could disappear in decades: UNESCO,DocuSign's Interim CEO Sets Stage for Growth
164,Musk’s past tweets reveal clues about Twitter’s new owner,Apple Music replaces Pepsi as new sponsor of Super Bowl halftime show
165,"Influencers debate leaving Twitter, but where would they go?",Waymo hires new finance chief who will focus on helping the company expand
166,Who is having the most influence over your money in 2022? Meet the MarketWatch 50.,MUTUAL FUNDS Active Fund Managers Are Expected to Win in Rough Markets. It Isn’t Working.
167,AUTOS Tesla Stock Has Been Sideswiped by Twitter Issues. It’s Near the Breaking Point.,Steve Case of AOL sees parallels to dot-com era in today’s challenging tech climate
168,TECHNOLOGY Elon Musk Cites a ‘Massive Drop’ in Twitter Revenue as Questions About Business Mount,DocuSign Names Google's Allan Thygesen Next Chief Exec Officer
169,"AUTOS Auto Parts Giant Cuts Guidance. There Was Good News for Ford, GM, and Tesla.",Rumble Stock Rises on Content Deal With SteveWillDoIt -- Update
170,CRYPTOCURRENCIES Dogecoin Is Slumping After a Report Suggests the Twitter Crypto Dream Is on Pause,"Ford announces leadership changes as it accelerates 'Ford+' growth plan, bolsters supply chain operations"
171,AUTOS BMW Beats Earnings Estimates by Selling More EVs,Ofcom Starts Probe Into UK Cloud Infrastructure Services Sector
172,AUTOS Tesla’s China Shipments Fall as Price Cuts and Covid Create Problems,TECHNOLOGY Facebook Parent Meta Wants to Cut Costs by at Least 10%: Report
173,TECHNOLOGY Elon Musk Has Owned Twitter for Only a Few Days. The Drama Hasn’t Ended.,TECHNOLOGY Warner Music Taps YouTube Business Chief as Next CEO
174,"FEDERAL RESERVE Tesla, EV Stocks Sag as the Federal Reserve Pulls the Plug","Dow drops 300 points, stocks finish lower as markets brace for next ‘jumbo’ Fed rate hike"
175,Twitter adds fact-check to Biden White House’s tweet bragging about Social Security’s COLA of 8.7%,CHINA Goldman Sachs Prefers the US Stock Market. Why Alibaba Is an Exception.
176,CRYPTOCURRENCIES Binance Helped Fund Elon Musk’s Twitter Takeover. Now It Wants a Crypto ‘Sandbox.’,"Why McDonald’s, Google and other big businesses may face responsibility for many more workers"
177,COMPANIES Elon Musk’s ‘Very Close’ Friend Larry Ellison and Kathleen Wilson-Thompson Join Tesla’s Board,Almost 100 Facebook janitors laid off as Silicon Valley service-worker cuts continue
178,BARRON'S Tesla: Why a Bare Bones Model 3 Could Be Smart,BARRON'S Alphabet: How a $175 Billion Waymo Could Boost the Shares
179,AUTOS NIO Has More Covid-Related Problems. That’s Bad News for Tesla.,BARRON'S Facebook and Google Can’t Match This Yelp Strength
180,Tesla shuts main showroom in Beijing in shift of China strategy: report,It’s a great time to scoop up bargain stocks. Here are 21 examples that could make you a lot of money.
181,"XPeng stock swings to a loss after drop in monthly deliveries, while other China-based EVs surge",DOJ antitrust cop hammers ‘whack-a-mole’ approach to reining in Big Tech
182,"AUTOS Deliveries From NIO, XPeng, and Li Auto Were Dreadful. Some Stocks Rise Anyway.",The Meta meltdown: This chart shows Facebook’s fall from grace among the most valuable U.S. companies
183,"Some 75% of surveyed Americans would jump at a ‘green’ job in solar, wind or EVs, which tend to pay 21% more",Google randomly sent him $250K. This is what happened next.
184,"MEDIA Musk Twitter Firings Carry Legal Risk for Newly Private Platform, Lawyers Say",Controversial attempt to protect kids online is signed into law by California governor
185,TECHNOLOGY Stephen King and Elon Musk Spar Over Twitter Charging $20 Monthly for Verification,Roblox stock slide continues after hours as August metrics come out
186,AUTOS Tesla Will Have Big Cybertruck Sales in 2024. That’s Late.,MARKETS Why This Top Advisor Is Still Buying Apple and Microsoft Stock
187,AUTOS Tesla Loaning Engineers to Twitter? That’s Not What Investors Want to Hear.,Senators take social-media companies to task for their impact on national security
188,TECHNOLOGY This Is Elon Musk’s Big Opportunity at Twitter,OPINION Pinterest never considered itself a social network. Until now.
189,M&A Twitter Has a Lot of Debt. It’s Not an Issue for Tesla—Yet.,MARKETS Wall Street Predicts Another Volcker Moment to Tame Sticky Inflation
190,AUTOS Tesla Considered a Stake in Mining Giant Glencore. That’s a Bad Idea.,TECHNOLOGY Court Confirms Record $4.1 Billion Fine Against Google in Android Antitrust Case
191,Apple and Microsoft market caps reached their largest spread on record — at roughly Tesla’s entire valuation,Google lost most of appeal of EU Android decision
192,OPINION Here’s how to incentivize cleaning up landfills — the culprit driving one-fifth of global warming,Google Mostly Loses Appeal of EU Android Decision
193,"AUTOS Ford Is Moving Ahead With Staff Cuts, Report Says. There Will Be Severance.","Dow books near 1,300-point drop as stocks record worst day since June 2020"
194,Elon Musk says Twitter ‘obviously cannot become a free-for-all hellscape’ but should encourage debate,Google faces $25.4 billion damages payout in double lawsuit over advertising practices: report
